nsweeps,pearson,slope
0,0.405368834733963,0.10791708528995514
1,0.5686740875244141,0.21983663737773895
2,0.6689271926879883,0.2964309751987457
3,0.7523786425590515,0.3804573118686676
4,0.8295117616653442,0.4770341217517853
5,0.8645387887954712,0.5442712903022766
6,0.8961876034736633,0.6271138191223145
7,0.9168897867202759,0.6920921206474304
8,0.9334501624107361,0.7452899217605591
9,0.944767951965332,0.7849494218826294
10,0.9505943059921265,0.8379212617874146
11,0.9572924375534058,0.8828635811805725
12,0.9640121459960938,0.9277808666229248
13,0.969130277633667,0.9517101049423218
14,0.9734822511672974,0.9717150330543518
15,0.9747902154922485,0.9997661709785461
16,0.9771610498428345,1.0218721628189087
17,0.9781960844993591,1.0388107299804688
18,0.9802477955818176,1.0583544969558716
19,0.9801108837127686,1.0684785842895508
20,0.9828729033470154,1.104156255722046
21,0.9834415316581726,1.112558364868164
22,0.9845117330551147,1.1355655193328857
23,0.9845852851867676,1.1263175010681152
24,0.9857107996940613,1.1470431089401245
25,0.9866310954093933,1.1527553796768188
26,0.9877597689628601,1.1666297912597656
27,0.987840473651886,1.1528985500335693
28,0.9894310235977173,1.1609829664230347
29,0.9891915321350098,1.164272665977478
30,0.9904143214225769,1.1828936338424683
31,0.9902331233024597,1.165231704711914
32,0.990541934967041,1.1554450988769531
33,0.9915526509284973,1.1617320775985718
34,0.9922531247138977,1.1484929323196411
35,0.991276204586029,1.1430552005767822
36,0.9912530183792114,1.1535651683807373
37,0.9918636679649353,1.1655291318893433
38,0.9919037818908691,1.1485207080841064
39,0.9925000667572021,1.1440805196762085
40,0.991757333278656,1.1385608911514282
41,0.9927436709403992,1.1322702169418335
42,0.9935649633407593,1.12149977684021
43,0.9931566119194031,1.1215109825134277
44,0.993478000164032,1.1225340366363525
45,0.9937325716018677,1.1196380853652954
46,0.9943377375602722,1.1175520420074463
47,0.9930471181869507,1.0872993469238281
48,0.9936394095420837,1.1013686656951904
49,0.9939388036727905,1.0957199335098267
50,0.9938269853591919,1.098018765449524
51,0.993770956993103,1.0965667963027954
52,0.993970513343811,1.107290506362915
53,0.9940199255943298,1.106290578842163
54,0.9943221807479858,1.0994826555252075
55,0.9940893054008484,1.0866206884384155
56,0.9940424561500549,1.0802416801452637
57,0.99361652135849,1.0821130275726318
58,0.9942178130149841,1.0676465034484863
59,0.9943042993545532,1.0822099447250366
60,0.994074285030365,1.0866893529891968
61,0.9944974184036255,1.0715141296386719
62,0.9942751526832581,1.068871259689331
63,0.9944197535514832,1.060003399848938
64,0.9938284158706665,1.0647618770599365
65,0.9944599270820618,1.073986291885376
66,0.9942768812179565,1.0790519714355469
67,0.9942468404769897,1.0658155679702759
68,0.9938965439796448,1.0564712285995483
69,0.9942883849143982,1.0562307834625244
70,0.9939190745353699,1.0514981746673584
71,0.9940316081047058,1.0438194274902344
72,0.9943615794181824,1.0504224300384521
73,0.9944532513618469,1.04301917552948
74,0.9942662715911865,1.0354818105697632
75,0.9944857358932495,1.0299742221832275
76,0.9944102764129639,1.0262500047683716
77,0.9937830567359924,1.0162303447723389
